Source,Higher order category,Category definition,Metric dimension,Metric / Prompt definition,Metric code,Evaluation Type,Unit of observation,Dataset,Subject,Scale,Evaluation method,Judge Model
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Cognitive Load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",Straightforward Response,"The tutor responses are straightforward to follow, there are no confusing sentences or explanations.",Instructional Support,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Cognitive Load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",No Irrelevant Info,The tutor avoids irrelevant information.,Instructional Support,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Cognitive Load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",Analogies,"The tutor uses narratives, case studies, or analogies as appropriate to illustrate key concepts.",Instructional Support,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Cognitive Load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",Info Presentation,"Overall, in terms of structure and style, the tutor presents information well.",Instructional Support,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Cognitive Load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",Info Order,"The tutor presents information in an order that is easy to understand and builds on itself, for example by starting with more basic concepts before explaining more advanced ones, and/or starting at a more intuitive explanation before getting into more details.",Instructional Support,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Cognitive Load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",No Contradiction,The tutor does not contradict earlier parts of the conversation.,Accuracy,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Cognitive Load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",No Repetition,The tutor does not unnecessarily repeat earlier parts of the conversation.,Alignment to Constraints,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Active Learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Asks Questions,The tutor makes the student think by asking questions where appropriate.,Engagement and Motivation,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Active Learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Guides to Answer,The tutor does not give away answers too quickly.,Alignment to Constraints,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Active Learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Active Engagement,"Overall, the tutor promotes active engagement with the material.",Engagement and Motivation,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Active Learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Openings,The tutor keeps the conversation going by giving the student openings to engage.,Engagement and Motivation,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Deepen Metacognition,"“Thinking about thinking”, which enables learners to generalise their skills beyond a single context.",Guide Mistake Discovery,"The tutor guides the student to discover their own mistakes, where appropriate. [Mark N/A if no opportunities]",Mistake Handling,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Deepen Metacognition,"“Thinking about thinking”, which enables learners to generalise their skills beyond a single context.",Constructive Feedback,"The tutor provides clear, constructive feedback (whether positive or negative) to the student when appropriate, including acknowledging when all or part of the student’s response is correct. [Mark N/A if no opportunities for feedback]",Engagement and Motivation,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Deepen Metacognition,"“Thinking about thinking”, which enables learners to generalise their skills beyond a single context.",Communicates Aims,"The tutor communicates their aims for the upcoming conversation so that the student knows what to expect (e.g. “Let’s walk through the steps together to see if we can unpack your homework problem” or “Let’s go through the basics of nuclear fusion, then talk about some examples and applications”).",Instructional Support,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Motivation,Leads to self-efficacy and lifelong learning.,Stimulates Interest,The tutor takes steps to stimulate the student’s interest and curiosity.,Engagement and Motivation,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Motivation,Leads to self-efficacy and lifelong learning.,Adapts to Affect,"If the student shows signs of becoming frustrated or discouraged, the tutor adapts effectively, for example by expressing empathy or encouragement, acknowledging the student’s emotional state, and/or suggesting mitigations. [Mark N/A if student does not show signs of these sentiments]",Affect and Relational Support,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Motivation,Leads to self-efficacy and lifelong learning.,Encouraging Feedback,"The tutor delivers feedback (whether positive or negative) in an encouraging way, celebrating progress. [Mark N/A if no opportunities for feedback]",Engagement and Motivation,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Adaptivity,"Assessing the current state and the goals, and making a plan to bridge the gap.",Leveling,"The tutor’s level of explanation (complexity, choice of examples, reliance on prior knowledge, etc.) is appropriate to the student’s level throughout the conversation. Where necessary, the tutor adapts its level in realtime.",Adaptivity,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Adaptivity,"Assessing the current state and the goals, and making a plan to bridge the gap.",Unstuck,"If the student is stuck, the tutor adapts effectively to get the student unstuck. [Mark N/A if the student doesn’t get stuck]",Adaptivity,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Adaptivity,"Assessing the current state and the goals, and making a plan to bridge the gap.",Adapts to Needs,"Overall, the tutor adapts to the student’s needs.",Adaptivity,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Adaptivity,"Assessing the current state and the goals, and making a plan to bridge the gap.",Proactive,The tutor proactively guides the conversation when appropriate.,Adaptivity,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Adaptivity,"Assessing the current state and the goals, and making a plan to bridge the gap.",Guides Appropriately,"The tutor doesn’t ask the student too many questions, unproductively withholding information.",Adaptivity,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Overall,n/a,No Inaccuracies,"To the best of my knowledge, there are no inaccuracies in the statements made by the tutor.",Accuracy,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Overall,n/a,Expresses Uncertainty,The tutor expresses uncertainty.,Accuracy,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Overall,n/a,No Refusals,The tutor does not refuse to answer any reasonable questions from the student.,Alignment to Constraints,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Overall,n/a,Overall Quality,Overall quality: The tutor is at least as good as an excellent human tutor.,Overall Rating,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",n/a,n/a,Pedagogy,Which conversation exemplifies better tutor behavior (not including accuracy)?,Overall Rating,Tutor,Pairwise Conversation,Pair of LearnLM-Tutor conversations,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Seven-point Likert-type scale,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",n/a,n/a,Accuracy,Which conversation is better in terms of the accuracy of the statements made by the tutor?,Accuracy,Tutor,Pairwise Conversation,Pair of LearnLM-Tutor conversations,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Seven-point Likert-type scale,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",n/a,n/a,Human-likeness,In which conversation was the tutor most like an excellent human tutor?,Overall Rating,Tutor,Pairwise Conversation,Pair of LearnLM-Tutor conversations,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Seven-point Likert-type scale,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",n/a,n/a,Understand,In which conversation did the tutor seem to better understand the student?,Understanding Learner Goals,Tutor,Pairwise Conversation,Pair of LearnLM-Tutor conversations,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Seven-point Likert-type scale,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",n/a,n/a,Help,In which conversation did the tutor better help the student?,Overall Rating,Tutor,Pairwise Conversation,Pair of LearnLM-Tutor conversations,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Seven-point Likert-type scale,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Manage cognitive load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",Stay on topic,"You are a Critic assessing a Tutor who is interacting with a Student.
The Tutor should attempt to keep the conversation focused on the topic of the lesson, even when the Student says something off-topic.
As the Critic, you identify when the Tutor believes the Student is off-topic. You are *not* responsible for determining whether the Student is actually off-topic; only for determining whether the Tutor *believes* the Student is off-topic.
You are also not responsible for judging whether the Tutor’s response is correct, helpful, or safe; only for determining whether it believes the Student is off-topic.",Alignment to Constraints,Tutor,Pedagogical tasks,"Evaluation task description, relevant context from the dataset, and the tutor’s generated response","High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)","Boolean (0.0, 1.0)",LLM as critic,PaLM 2.0
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Encourage active learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Don't reveal the answer,"You are a Critic giving feedback on the Tutor’s tutoring skills.
The Tutor must never give away the answer in full. Instead, the Tutor must give hints or ask leading questions to help the Student find the solution by themselves.
As the Critic you assess whether the Tutor gives away the answer in full
Even confirming that the student is correct counts as giving away the answer
If what the Student says is partially true, and the Tutor says so and explains why they are only partially correct (or what the exceptions are), that also counts as giving away the answer",Alignment to Constraints,Tutor,Pedagogical tasks,"Evaluation task description, relevant context from the dataset, and the tutor’s generated response","High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)","Boolean (0.0, 1.0)",LLM as critic,PaLM 2.0
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Encourage active learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Guide towards the answer - checking that the tutor reveals the answer,"Given the user’s Question, Solution, Correct Answer, and the AI response, compare the AI response to the Correct Answer and Solution and judge if the AI response reveals the Correct Answer or the Solution in any form.
Carefully compare the Correct Answer and the AI response.",Alignment to Constraints,Tutor,Pedagogical tasks,"Evaluation task description, relevant context from the dataset, and the tutor’s generated response","High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)","Boolean (0.0, 1.0)",LLM as critic,PaLM 2.0
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Encourage active learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Guide towards the answer - checking that the tutor provides actionable steps,"Given the user’ s Question, Solution, Correct Answer, and a Tutor Response, rate the usefulness of the Tutor Response. Your task is to gauge if the Tutor Response provides actionable hints or steps without revealing the correct answer or the whole solution. The user could use this response to move closer to the final correct answer. A good response could also be a follow up question which makes the user think about how to solve the problem. Remember, a Tutor Response SHOULD NOT reveal the Solution or the Correct Answer.",Instructional Support,Tutor,Pedagogical tasks,"Evaluation task description, relevant context from the dataset, and the tutor’s generated response","High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)","Boolean (0.0, 1.0)",LLM as critic,PaLM 2.0
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Encourage active learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Promote active engagement,"You are a Critic giving feedback on the Tutor’s tutoring skills.
The Tutor must promote active engagement from the Student, for example by asking follow up questions to dig deeper, asking whether the Student would like to learn more, asking the Student to try something for themselves, or providing practice problems.
As the Critic you assess whether the Tutor promotes active engagement ",Engagement and Motivation,Tutor,Pedagogical tasks,"Evaluation task description, relevant context from the dataset, and the tutor’s generated response","High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)","Boolean (0.0, 1.0)",LLM as critic,PaLM 2.0
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Deepen metacognition,"“Thinking about thinking”, which enables learners to generalise their skills beyond a single context.",Identify and address misconceptions,"You are a Critic giving feedback on the Tutor’s tutoring skills.
Every Student statement contains a mistake.
As the Critic you assess whether the Tutor points out the Student’s mistake",Mistake Handling,Tutor,Pedagogical tasks,"Evaluation task description, relevant context from the dataset, and the tutor’s generated response","High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)","Boolean (0.0, 1.0)",LLM as critic,PaLM 2.0
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Motivate and stimulate curiosity,Leads to self-efficacy and lifelong learning.,Respond appropriately to explicit affect cues,"You are a Critic giving feedback on the Tutor’s tutoring skills.
The Student sometimes explicitly discloses feelings or emotions, such as tiredness, frustration, or pride.
The Tutor must be considerate of the Student’s expressed feelings, respond appropriately, and adapt the flow of the lesson accordingly.
For example, if the Student expresses tiredness, the Tutor might suggest taking a break.
Only take into account explicitly expressed feelings. The Tutor should not try to infer emotions that are not explicitly stated.",Affect and Relational Support,Tutor,Pedagogical tasks,"Evaluation task description, relevant context from the dataset, and the tutor’s generated response","High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)","Boolean (0.0, 1.0)",LLM as critic,PaLM 2.0
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Motivate and stimulate curiosity,Leads to self-efficacy and lifelong learning.,Communicate with positive tone,"You are a Critic giving feedback on the Tutor. Determine whether the Tutor is highly positive, enthusiastic and encouraging.",Affect and Relational Support,Tutor,Pedagogical tasks,"Evaluation task description, relevant context from the dataset, and the tutor’s generated response","High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)","Boolean (0.0, 1.0)",LLM as critic,PaLM 2.0
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Adapt to learners' goals and needs,"Assessing the current state and the goals, and making a plan to bridge the gap.",Adapt to the learner’s level,"You are a Critic giving feedback on the Tutor’s tutoring skills. Your task is to determine if the Tutor adapted the tutoring session to the Student’s current level of understanding and competency.
Focus solely on the responses and actions of the Tutor. Consider the following criteria for your evaluation:
Adapts Difficulty: The Tutor adjusts the difficulty of quiz questions to align with the Student’s knowledge level.
Avoids Giving Answers: The Tutor avoids providing direct answers to quiz questions and instead guides the Student to derive solutions independently.
Reviews Knowledge Gaps: The Tutor helps the Student identify and review areas where their knowledge is lacking.
Guides to Challenging Content: The Tutor proactively guides the Student towards more challenging concepts when they demonstrate competency or express boredom.
Checks Understanding: The Tutor goes beyond simply providing information or reviewing concepts. The Tutor should incorporate in their response a check-in such as a confirmation question or a quiz question to verify the student’s understanding of the content.",Adaptivity,Tutor,Pedagogical tasks,"Evaluation task description, relevant context from the dataset, and the tutor’s generated response","High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)","Boolean (0.0, 1.0)",LLM as critic,PaLM 2.0
"(Maurya et al., 2025) – MRBench",Student mistake remediation,Effectiveness of AI tutors for student mistake remediation within the mathematics domain,Mistake identification,Has the tutor identified/recognized a mistake in a student’s response?,Mistake Handling,Tutor,MRBench,"Bridge, MathDial; 192 conversations and 1,596 tutor responses",Middle-school mathematics mistake remediation,3-point ordinal scale (Yes; To some extent; No),"Desired Annotation Match Rate (DAMR): % annotations with desired label
Annotation Correlation (AC): Pearson's correlation between LLM/human annotation","Prometheus2
Llama-3.1-8B"
"(Maurya et al., 2025) – MRBench",Student mistake remediation,Effectiveness of AI tutors for student mistake remediation within the mathematics domain,Mistake location,Does the tutor’s response accurately point to a genuine mistake and its location?,Mistake Handling,Tutor,MRBench,"Bridge, MathDial; 192 conversations and 1,596 tutor responses",Middle-school mathematics mistake remediation,3-point ordinal scale (Yes; To some extent; No),DAMR: Desired Annotation Match Rate,"Prometheus2
Llama-3.1-8B"
"(Maurya et al., 2025) – MRBench",Student mistake remediation,Effectiveness of AI tutors for student mistake remediation within the mathematics domain,Revealing of the answer,Does the tutor reveal the final answer (whether correct or not)?,Alignment to Constraints,Tutor,MRBench,"Bridge, MathDial; 192 conversations and 1,596 tutor responses",Middle-school mathematics mistake remediation,"3-point categorical scale (Yes, and the revealed answer is correct; Yes, but the revealed answer is incorrect; No)",DAMR: Desired Annotation Match Rate,"Prometheus2
Llama-3.1-8B"
"(Maurya et al., 2025) – MRBench",Student mistake remediation,Effectiveness of AI tutors for student mistake remediation within the mathematics domain,Providing guidance,"Does the tutor offer correct and relevant guidance, such as an explanation, elaboration, hint, examples, and so on?",Instructional Support,Tutor,MRBench,"Bridge, MathDial; 192 conversations and 1,596 tutor responses",Middle-school mathematics mistake remediation,3-point ordinal scale (Yes; To some extent; No),DAMR: Desired Annotation Match Rate,"Prometheus2
Llama-3.1-8B"
"(Maurya et al., 2025) – MRBench",Student mistake remediation,Effectiveness of AI tutors for student mistake remediation within the mathematics domain,Actionability,Is it clear from the tutor’s feedback what the student should do next?,Instructional Support,Tutor,MRBench,"Bridge, MathDial; 192 conversations and 1,596 tutor responses",Middle-school mathematics mistake remediation,3-point ordinal scale (Yes; To some extent; No),DAMR: Desired Annotation Match Rate,"Prometheus2
Llama-3.1-8B"
