Category,Subcategory,Prompt,References
Alignment to Constraints,Contextual consistency,Your task is to rate how well the Tutor's responses logically follow from the Student's message and prior dialogue context.,"(Maurya et al., 2025)
(Xu et al., 2025)
(Shi et al., 2026)"
Mistake Handling,Mistake identification,Your task is to rate how well the Tutor detects and identifies mistakes made by the Student.,"(Jurenka et al., 2024)
(Maurya et al., 2025)
(Miller & DiCerbo, 2024)
(Srinivasa et al., 2025)
(Xu et al., 2025)
(Ding & Magerko, 2025)"
Mistake Handling,Mistake localization,Your task is to rate how well the Tutor identifies where the Student's mistake occurred or which part of the reasoning was wrong.,"(Maurya et al., 2025)
(Macina et al., 2025)
(Xu et al., 2025)
(Ding & Magerko, 2025)
(Srinivasa et al., 2025)"
Mistake Handling,Misconception diagnosis,Your task is to rate how well the Tutor identifies the underlying misconception or misunderstanding behind the Student's error.,"(Jurenka et al., 2024)
(Otero et al., 2025)
(Srinivasa et al., 2025)"
Mistake Handling,Mistake guidance,Your task is to rate how effectively the Tutor guides the Student through discovering or fixing a mistake.,"(Jurenka et al., 2024)
(LearnLM, 2024)"
Adaptivity,Goal responsiveness,"Your task is to rate how well the Tutor identifies and uses the Student's learning goal, question intent, or stated objective to adapt its response.","(LearnLM, 2024)
(Jurenka et al., 2024)
(Shi et al., 2025)
(Ding & Magerko, 2025)"
Adaptivity,Learner-level calibration,"Your task is to rate how well the Tutor adjusts the level of explanation, vocabulary, and difficulty to match the Student's current level of understanding.","(Jurenka et al., 2024)
(LearnLM, 2024)
(Srinivasa et al., 2025)
(Xu et al., 2025)
(Lee et al., 2026)"
Adaptivity,Adapts when student is stuck,"Your task is to rate how well the Tutor adapts when the Student becomes stuck, for example by changing the explanation, giving a hint, or reducing complexity.","(Jurenka et al., 2024)
(LearnLM, 2024)"
Adaptivity,Personalization,"Your task is to rate how well the Tutor tailors its teaching to the Student's relevant background, learning needs, or ongoing performance rather than giving the same generic response to any learner.","(LearnLM, 2024)
(Xu et al., 2025)
(Ding & Magerko, 2025)
(Lee et al., 2026)"
Adaptivity,Adjusts support over time,Your task is to rate how well the Tutor adjusts its level of support as the conversation progresses in response to the Student's evolving needs or demonstrated understanding.,"(Jurenka et al., 2024)
(LearnLM, 2024)
(Shi et al., 2025)
(Wei et al., 2025)"
